id,figure,text,sources,choice_1_text,choice_1_next,choice_2_text,choice_2_next,choice_3_text,choice_3_next
merchant_intro,merchant,"I have shelves of British cloth I paid for last summer. If I sell it, the committee may print my name in the newspaper. If I do not, I cannot pay what I owe.",src_association,What happens if your name is printed?,merchant_printed,Could you sell something else instead?,merchant_alternative,Do you think the boycott is right?,merchant_belief
merchant_printed,merchant,Then every man who signed the agreement stops trading with me. Not only here. The newspapers travel. I have seen it happen to shopkeepers in Boston.,"src_association, src_chronicle",That seems harsh.,merchant_harsh,"Thank you, Mr. Hale.",END,,
merchant_harsh,merchant,"Harsh, perhaps. But they would say a boycott that nobody enforces is no boycott at all. I cannot say they are wrong. I only wish it were not my shelves.",,,,,,,
merchant_alternative,merchant,Some families are spinning their own cloth now and wearing it proudly. That is well for them. It is not a trade I can start in a month with money already spent.,src_homespun,,,,,,
merchant_belief,merchant,"I believe Parliament has gone too far. I also believe my children eat by what I sell. Both of those are true at once, and I have not found a way to make them agree.",,,,,,,
committee_intro,committee,"The agreement is plain. Our committee watches who buys and sells, and we publish the name of anyone who breaks it. If towns go soft, Parliament learns we did not mean it.",src_association,Isn't that hard on Mr. Hale?,committee_hale,What if you are wrong about someone?,committee_wrong,What do you think Britain will do?,committee_britain
committee_hale,committee,"It is. I have known him twenty years. But if we excuse him, the next town excuses theirs, and soon the agreement is only words. What we have instead of an army is that we all hold to it.",src_association,,,,,,
committee_wrong,committee,"Then we have ruined a neighbor over a rumor. That worries me more than I say aloud. We meet, we hear the case, and we are careful. Careful is not the same as certain.",,,,,,,
committee_britain,committee,I do not know. Some say they will repeal the laws within the year. Others say soldiers. Anyone who tells you they know is guessing.,,,,,,,
farmer_intro,farmer,"I owe Hale for seed. If the committee ruins him, he calls in what I owe, and I have not got it. I care about the cause. I also care about spring planting.",,So what do you want the town to do?,farmer_want,Would you buy British goods anyway?,farmer_buy,,
farmer_want,farmer,"Something between. Let him sell what he already bought and buy nothing new. But I am a farmer, not a lawyer, and nobody at the meeting will ask me.",,,,,,,
farmer_buy,farmer,"And have my name in the paper? No. But I know men who would, quietly, and call it nobody's business.",src_association,,,,,,
